detector type,Keypoint detection time(ms),detected points,ROI points,descriptor type,descriptor time taken(ms),matcher type,selector type,Matcher time taken(ms),No of matched points
ORB,4.20267,467,79,SIFT,126.287,MAT_BF,SEL_KNN,0.40153,71
ORB,3.91602,467,74,BRISK,0.983738,NA,NA,NA,NA
ORB,4.01974,467,80,BRISK,0.966241,MAT_BF,SEL_KNN,0.318902,44
ORB,4.08106,467,89,BRISK,1.14902,MAT_BF,SEL_KNN,0.349693,45
ORB,4.39094,467,85,BRISK,1.06856,MAT_BF,SEL_KNN,0.43671,48
ORB,4.04073,467,87,BRISK,1.0639,MAT_BF,SEL_KNN,0.388932,49
ORB,4.11045,467,87,BRISK,1.09099,MAT_BF,SEL_KNN,0.418257,47
ORB,4.04573,467,89,BRISK,1.13584,MAT_BF,SEL_KNN,0.399006,53
ORB,4.13337,467,91,BRISK,1.10485,MAT_BF,SEL_KNN,0.40556,39
ORB,4.17503,467,90,BRISK,1.1152,MAT_BF,SEL_KNN,0.440363,45
ORB,4.17843,467,79,BRISK,1.02402,MAT_BF,SEL_KNN,0.389005,44
